test,count,RTF,CPU,CPU_TEMP,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,2,0.998751318,"[1.8, 3.6, 13.6, 6.4, 1.8, 1.0, 1.8, 3.2, 100.0, 1.8, 1.8, 3.6, 28.4, 5.6, 3.7, 0.9]",49.75,100,62,2373918720,737
multi-robot,3,1.000213703,"[48.5, 0.0, 25.0, 6.4, 56.0, 1.9, 10.9, 1.9, 0.9, 0.9, 0.0, 0.0, 10.8, 15.7, 0.9, 1.8]",49.0,97,56,2457026560,737
multi-robot,3,1.00007476,"[45.6, 1.0, 0.9, 26.2, 14.8, 4.6, 2.8, 24.8, 19.8, 12.7, 1.9, 1.8, 38.9, 19.7, 12.3, 21.6]",48.75,79,55,2460594176,737
multi-robot,3,0.9990742800000001,"[0.0, 16.5, 1.8, 2.8, 99.1, 3.7, 3.7, 0.0, 13.9, 11.5, 6.5, 0.9, 0.9, 4.6, 14.5, 0.9]",48.875,100,57,2453983232,737
multi-robot,3,0.99992864,"[24.3, 2.8, 3.6, 6.3, 22.0, 24.0, 8.3, 4.5, 4.6, 3.6, 3.6, 3.6, 84.4, 11.9, 8.3, 16.2]",57.0,100,58,2454564864,737
multi-robot,3,0.9990649610000001,"[0.0, 1.9, 0.0, 4.2, 0.0, 1.1, 1.9, 0.0, 1.0, 0.0, 26.2, 2.8, 100.0, 0.9, 15.5, 0.9]",55.25,100,58,2454851584,737
multi-robot,3,1.000221519,"[0.0, 27.4, 1.9, 9.7, 0.0, 1.9, 3.7, 0.9, 1.0, 0.9, 21.7, 0.0, 100.0, 0.9, 20.6, 1.9]",53.625,100,59,2453970944,737
multi-robot,3,1.000633303,"[2.8, 25.9, 4.5, 29.8, 70.4, 0.0, 2.8, 0.9, 6.4, 2.8, 1.9, 2.0, 30.2, 1.9, 17.8, 0.0]",52.0,100,59,2454728704,737
multi-robot,3,0.99952141,"[4.5, 0.0, 3.7, 18.5, 100.0, 1.3, 15.5, 0.9, 2.8, 0.9, 0.9, 7.4, 0.9, 1.9, 19.4, 2.8]",50.875,100,59,2450997248,737
multi-robot,3,1.000097125,"[2.8, 0.9, 5.5, 7.2, 100.0, 2.8, 0.9, 0.9, 21.2, 3.7, 22.9, 5.7, 0.9, 1.9, 9.4, 8.4]",50.125,100,60,2448449536,737
multi-robot,3,0.999748218,"[3.9, 0.9, 5.4, 1.2, 93.5, 1.9, 8.3, 1.9, 2.0, 1.9, 25.2, 2.8, 2.8, 0.9, 18.7, 3.8]",50.0,100,60,2443681792,737
multi-robot,3,1.000960255,"[41.5, 31.5, 4.5, 1.8, 1.9, 0.0, 51.0, 4.6, 4.6, 2.8, 4.7, 1.9, 8.3, 1.9, 54.2, 13.2]",50.25,100,60,2443259904,737
multi-robot,3,1.000509915,"[4.6, 0.0, 5.4, 1.9, 8.3, 16.7, 62.0, 1.1, 26.2, 0.0, 0.9, 3.7, 2.8, 1.9, 36.8, 3.7]",50.25,100,61,2443489280,737
multi-robot,3,0.9990683570000001,"[48.6, 0.0, 24.1, 3.7, 0.9, 54.1, 7.5, 4.1, 2.8, 1.9, 3.7, 1.9, 0.0, 0.0, 34.6, 10.1]",49.75,100,61,2444734464,737
multi-robot,3,1.000223917,"[66.7, 8.7, 5.5, 3.6, 0.0, 0.0, 2.8, 20.7, 33.9, 1.9, 0.9, 0.0, 23.3, 7.1, 22.4, 2.0]",49.75,100,62,2443702272,737
multi-robot,3,0.998474658,"[100.0, 40.3, 1.0, 5.4, 1.9, 0.0, 0.9, 1.9, 8.9, 2.8, 1.9, 2.8, 18.3, 25.0, 0.0, 4.7]",49.75,100,62,2443689984,737
multi-robot,3,0.999352352,"[83.5, 2.8, 43.8, 4.5, 5.5, 0.9, 23.6, 1.8, 18.3, 0.9, 2.0, 0.9, 12.6, 0.9, 3.6, 9.2]",49.875,100,62,2443284480,737
multi-robot,3,0.9992858250000001,"[88.0, 0.9, 47.7, 5.4, 0.9, 16.7, 24.3, 2.8, 13.2, 16.0, 2.8, 1.9, 4.7, 2.8, 1.9, 3.7]",50.0,100,63,2443235328,737
multi-robot,3,0.999119368,"[29.7, 0.9, 2.8, 20.9, 2.7, 2.8, 25.5, 1.8, 72.5, 2.7, 2.8, 31.0, 20.2, 1.8, 1.8, 3.7]",50.0,100,63,2444136448,737
multi-robot,3,1.000616769,"[4.7, 0.9, 0.9, 16.8, 1.9, 5.6, 3.7, 6.5, 100.0, 1.9, 1.9, 48.0, 5.6, 0.0, 0.9, 17.9]",49.875,100,63,2442096640,737
multi-robot,3,0.998234948,"[4.7, 0.0, 2.9, 18.7, 7.5, 0.0, 16.8, 0.9, 31.5, 1.1, 2.1, 0.0, 66.1, 0.9, 14.4, 1.9]",50.125,100,64,2443833344,737
